Thread 1 seed: 264221
Init time: 0.006187 s

Loading weights-stage1.bin finished: 0.350813 s
Loading weights-stage2.bin finished: 0.38581 s
21376->21440: 0.9516 261125 0 520770
21440->21504: 0.9516 263354 0 520770
21504->21568: 0.9516 263662 0 520770
21568->21632: 0.9516 264099 0 520770
21632->21696: 0.9516 264407 0 520770
21696->21760: 0.9516 265099 0 520770
21760->21824: 0.9516 265408 0 520770
21824->21888: 0.9512 265844 106.165 520770
21888->21952: 0.951 266152 53.1776 520664
21952->22016: 0.9506 267357 106.447 520611
22016->22080: 0.9506 267665 0 520505
22080->22144: 0.9498 268102 214.136 520505
22144->22208: 0.9496 268410 53.6292 520290
22208->22272: 0.9496 269102 0 520237
22272->22336: 0.9496 269411 0 520237
22336->22400: 0.9494 269847 53.875 520237
22400->22464: 0.9492 270155 53.9784 520183
22464->22528: 0.9488 274432 108.048 520129
22528->22592: 0.9488 274740 0 520021
22592->22656: 0.9488 275177 0 520021
22656->22720: 0.9488 275485 0 520021
22720->22784: 0.9486 276177 55.1061 520021
22784->22848: 0.9484 276486 55.2282 519966
22848->22912: 0.9484 276922 0 519911
22912->22976: 0.9484 277230 0 519911
22976->23040: 0.9484 278435 0 519911
23040->23104: 0.9484 278743 0 519911
23104->23168: 0.9484 279180 0 519911
23168->23232: 0.9484 279488 0 519911
23232->23296: 0.9482 280180 55.9069 519911
23296->23360: 0.9482 280489 0 519855
23360->23424: 0.948 280925 56.0903 519855
23424->23488: 0.947 281233 280.921 519799
23488->23552: 0.946 283462 281.247 519518
23552->23616: 0.946 283770 0 519236
23616->23680: 0.946 284207 0 519236
23680->23744: 0.946 284515 0 519236
23744->23808: 0.9456 285207 113.808 519236
23808->23872: 0.9454 285516 57.0339 519123
23872->23936: 0.9452 285952 57.0956 519066
23936->24000: 0.945 286260 57.1999 519009
24000->24064: 0.9434 287465 458.007 518951
24064->24128: 0.943 287773 114.988 518493
24128->24192: 0.9424 288210 172.675 518378
24192->24256: 0.942 288518 115.286 518206
24256->24320: 0.94 289210 577.029 518090
24320->24384: 0.94 289519 0 517513
24384->24448: 0.9338 289955 1795.02 517513
24448->24512: 0.9334 290263 115.984 515718
24512->24576: 0.9226 306828 3134.85 515602
24576->24640: 0.9226 307136 0 512468
24640->24704: 0.9224 307573 61.4191 512468
24704->24768: 0.9224 307881 0 512406
24768->24832: 0.9224 308573 0 512406
24832->24896: 0.9224 308882 0 512406
24896->24960: 0.9224 309318 0 512406
24960->25024: 0.9224 309626 0 512406
25024->25088: 0.9218 310831 185.77 512406
25088->25152: 0.9218 311139 0 512220
25152->25216: 0.9218 311576 0 512220
25216->25280: 0.9218 311884 0 512220
25280->25344: 0.9214 312576 124.756 512220
25344->25408: 0.9214 312885 0 512096
25408->25472: 0.921 313321 125.156 512096
25472->25536: 0.921 313629 0 511970
25536->25600: 0.9208 315858 62.7363 511970
25600->25664: 0.9208 316166 0 511908
25664->25728: 0.9206 316603 63.2249 511908
25728->25792: 0.9206 316911 0 511844
25792->25856: 0.9204 317603 63.3738 511844
25856->25920: 0.9204 317912 0 511781
25920->25984: 0.92 318348 127.167 511781
25984->26048: 0.9198 318656 63.6802 511654
26048->26112: 0.9196 319861 63.7229 511590
26112->26176: 0.9196 320169 0 511527
26176->26240: 0.9192 320606 128.07 511527
26240->26304: 0.9192 320914 0 511398
26304->26368: 0.919 321606 64.1743 511398
26368->26432: 0.9186 321915 128.645 511334
26432->26496: 0.9184 322351 64.3936 511206
26496->26560: 0.9184 322659 0 511141
26560->26624: 0.9166 326936 580.787 511141
26624->26688: 0.9166 327244 0 510560
26688->26752: 0.9166 327681 0 510560
26752->26816: 0.9166 327989 0 510560
26816->26880: 0.9166 328681 0 510560
26880->26944: 0.9166 328990 0 510560
26944->27008: 0.9166 329426 0 510560
27008->27072: 0.9166 329734 0 510560
27072->27136: 0.9164 330939 65.9382 510560
27136->27200: 0.9164 331247 0 510494
27200->27264: 0.9162 331684 66.2604 510494
27264->27328: 0.9162 331992 0 510428
27328->27392: 0.9162 332684 0 510428
27392->27456: 0.916 332993 66.5281 510428
27456->27520: 0.9152 333429 266.399 510362
27520->27584: 0.915 333737 66.677 510095
27584->27648: 0.9138 335966 400.492 510029
27648->27712: 0.9138 336274 0 509628
27712->27776: 0.9138 336711 0 509628
27776->27840: 0.9138 337019 0 509628
27840->27904: 0.9138 337711 0 509628
27904->27968: 0.9136 338020 67.5333 509628
27968->28032: 0.9134 338456 67.6152 509561
28032->28096: 0.9132 338764 67.6823 509493
28096->28160: 0.9106 339969 880.792 509425
28160->28224: 0.9104 340277 68.0051 508544
28224->28288: 0.9098 340714 204.16 508476
28288->28352: 0.9096 341022 68.1337 508272
28352->28416: 0.9072 341714 818.467 508204
28416->28480: 0.907 342023 68.3338 507386
28480->28544: 0.9022 342459 1641.72 507317
28544->28608: 0.9008 342767 479.441 505676
28608->28672: 0.8908 351140 3427.67 505196
28672->28736: 0.8908 351448 0 501769
28736->28800: 0.8908 351885 0 501769
28800->28864: 0.8908 352193 0 501769
28864->28928: 0.8908 352885 0 501769
28928->28992: 0.8908 353194 0 501769
28992->29056: 0.8906 353630 70.6294 501769
29056->29120: 0.8906 353938 0 501698
29120->29184: 0.8902 355143 141.578 501698
29184->29248: 0.8902 355451 0 501556
29248->29312: 0.89 355888 71.102 501556
29312->29376: 0.89 356196 0 501485
29376->29440: 0.8898 356888 71.2298 501485
29440->29504: 0.8898 357197 0 501414
29504->29568: 0.889 357633 285.762 501414
29568->29632: 0.8882 357941 286.111 501128
29632->29696: 0.8864 360170 644.295 500842
29696->29760: 0.8864 360478 0 500198
29760->29824: 0.8864 360915 0 500198
29824->29888: 0.8862 361223 72.1734 500198
29888->29952: 0.8856 361915 216.748 500126
29952->30016: 0.8854 362224 72.3735 499909
30016->30080: 0.8844 362660 362.219 499837
30080->30144: 0.884 362968 145.066 499474
30144->30208: 0.8822 364173 653.344 499329
30208->30272: 0.8816 364481 218.497 498676
30272->30336: 0.8808 364918 291.59 498458
30336->30400: 0.88 365226 291.939 498166
30400->30464: 0.8774 365918 949.593 497874
30464->30528: 0.8764 366227 365.914 496924
30528->30592: 0.8692 366663 2636.83 496558
30592->30656: 0.8652 366971 1466.66 493922
30656->30720: 0.8484 371248 6165.12 492455
30720->30784: 0.848 371556 148.502 486290
30784->30848: 0.8466 371993 520.176 486141
30848->30912: 0.846 372301 223.188 485621
30912->30976: 0.8438 372993 819.065 485398
30976->31040: 0.8436 373302 74.611 484579
31040->31104: 0.8408 373738 1045.24 484504
31104->31168: 0.839 374046 672.729 483459
31168->31232: 0.8352 375251 1421.37 482786
31232->31296: 0.8352 375559 0 481365
31296->31360: 0.8332 375996 751.131 481365
31360->31424: 0.832 376304 451.18 480614
31424->31488: 0.8256 376996 2408.34 480163
31488->31552: 0.824 377305 603.204 477754
31552->31616: 0.8174 377741 2490.22 477151
31616->31680: 0.8146 378049 1057.67 474661
31680->31744: 0.7948 380278 7485.38 473603
31744->31808: 0.7944 380586 152.114 466118
31808->31872: 0.7932 381023 456.689 465966
31872->31936: 0.7914 381331 685.841 465509
31936->32000: 0.7824 382023 3431.98 464823
32000->32064: 0.781 382332 534.83 461391
32064->32128: 0.7694 382768 4435.05 460856
32128->32192: 0.7654 383076 1531.08 456421
32192->32256: 0.7446 384281 7967.99 454890
32256->32320: 0.7422 384589 922.267 446922
32320->32384: 0.7354 385026 2615.21 446000
32384->32448: 0.7296 385334 2233.15 443385
32448->32512: 0.7044 386026 9710.42 441152
32512->32576: 0.6916 386335 4941.13 431441
32576->32640: 0.6636 386771 10817.4 426500
32640->32704: 0.6512 387079 4795.97 415683
32704->32768: 0.5682 452796 32127.6 410887
32768->32832: 0.5682 453104 0 378759
32832->32896: 0.5682 453541 0 378759
32896->32960: 0.5682 453849 0 378759
32960->33024: 0.5682 454541 0 378759
33024->33088: 0.5682 454850 0 378759
33088->33152: 0.5682 455286 0 378759
33152->33216: 0.5682 455594 0 378759
33216->33280: 0.568 456799 91.1068 378759
